"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 11, 2021","122.1361","122.1361","122.1361","122.1361","-","-0.69%"
"Feb 10, 2021","122.9832","122.9832","122.9832","122.9832","-","-2.16%"
"Feb 09, 2021","125.7036","125.7036","125.7036","125.7036","-","-1.31%"
"Feb 08, 2021","127.3736","127.3736","127.3736","127.3736","-","9.39%"
"Feb 07, 2021","116.4417","116.4417","116.4417","116.4417","-","1.64%"
"Feb 06, 2021","114.5676","114.5676","114.5676","114.5676","-","-1.40%"
"Feb 05, 2021","116.1995","116.1995","116.1995","116.1995","-","-2.98%"
"Feb 04, 2021","119.7638","119.7638","119.7638","119.7638","-","-0.85%"
"Feb 03, 2021","120.7915","120.7915","120.7915","120.7915","-","-1.12%"
"Feb 02, 2021","122.1641","122.1641","122.1641","122.1641","-","-0.13%"
"Feb 01, 2021","122.3231","122.3231","122.3231","122.3231","-","-3.53%"
"Jan 31, 2021","126.8044","126.8044","126.8044","126.8044","-","-0.69%"
"Jan 30, 2021","127.6896","127.6896","127.6896","127.6896","-","-6.32%"
"Jan 29, 2021","136.2992","136.2992","136.2992","136.2992","-","0.71%"
"Jan 28, 2021","135.3365","135.3365","135.3365","135.3365","-","3.62%"
"Jan 27, 2021","130.6129","130.6129","130.6129","130.6129","-","6.78%"
"Jan 26, 2021","122.3167","122.3167","122.3167","122.3167","-","-1.79%"
"Jan 25, 2021","124.5441","124.5441","124.5441","124.5441","-","-2.31%"
"Jan 24, 2021","127.4918","127.4918","127.4918","127.4918","-","2.36%"
"Jan 23, 2021","124.5580","124.5580","124.5580","124.5580","-","-2.48%"
"Jan 22, 2021","127.7224","127.7224","127.7224","127.7224","-","-2.47%"
"Jan 21, 2021","130.9544","130.9544","130.9544","130.9544","-","-5.36%"
"Jan 20, 2021","138.3712","138.3712","138.3712","138.3712","-","-6.96%"
"Jan 19, 2021","148.7246","148.7246","148.7246","148.7246","-","3.32%"
"Jan 18, 2021","143.9496","143.9496","143.9496","143.9496","-","-2.69%"
"Jan 17, 2021","147.9275","147.9275","147.9275","147.9275","-","-3.98%"
"Jan 16, 2021","154.0570","154.0570","154.0570","154.0570","-","0.82%"
"Jan 15, 2021","152.8039","152.8039","152.8039","152.8039","-","0.01%"
"Jan 14, 2021","152.7820","152.7820","152.7820","152.7820","-","3.50%"
"Jan 13, 2021","147.6092","147.6092","147.6092","147.6092","-","-4.51%"
"Jan 12, 2021","154.5840","154.5840","154.5840","154.5840","-","7.85%"
"Jan 11, 2021","143.3280","143.3280","143.3280","143.3280","-","-6.74%"
"Jan 10, 2021","153.6932","153.6932","153.6932","153.6932","-","3.40%"
"Jan 09, 2021","148.6405","148.6405","148.6405","148.6405","-","4.36%"
"Jan 08, 2021","142.4318","142.4318","142.4318","142.4318","-","0.11%"
"Jan 07, 2021","142.2694","142.2694","142.2694","142.2694","-","13.98%"
"Jan 06, 2021","124.8223","124.8223","124.8223","124.8223","-","7.36%"
"Jan 05, 2021","116.2623","116.2623","116.2623","116.2623","-","0.24%"
"Jan 04, 2021","115.9792","115.9792","115.9792","115.9792","-","8.45%"
"Jan 03, 2021","106.9400","106.9400","106.9400","106.9400","-","6.73%"
"Jan 02, 2021","100.1963","100.1963","100.1963","100.1963","-","9.94%"
"Jan 01, 2021","91.1381","91.1381","91.1381","91.1381","-","-10.50%"
"Dec 31, 2020","101.8303","101.8303","101.8303","101.8303","-","5.77%"
"Dec 30, 2020","96.2726","96.2726","96.2726","96.2726","-","2.94%"
"Dec 29, 2020","93.5271","93.5271","93.5271","93.5271","-","1.21%"
"Dec 28, 2020","92.4082","92.4082","92.4082","92.4082","-","-1.45%"
"Dec 27, 2020","93.7679","93.7679","93.7679","93.7679","-","5.34%"
"Dec 26, 2020","89.0156","89.0156","89.0156","89.0156","-","5.14%"
"Dec 25, 2020","84.6604","84.6604","84.6604","84.6604","-","0.36%"
"Dec 24, 2020","84.3591","84.3591","84.3591","84.3591","-","-7.74%"
"Dec 23, 2020","91.4396","91.4396","91.4396","91.4396","-","1.49%"
"Dec 22, 2020","90.0958","90.0958","90.0958","90.0958","-","0.87%"
"Dec 21, 2020","89.3205","89.3205","89.3205","89.3205","-","-1.30%"
"Dec 20, 2020","90.5014","90.5014","90.5014","90.5014","-","1.33%"
"Dec 19, 2020","89.3175","89.3175","89.3175","89.3175","-","6.94%"
"Dec 18, 2020","83.5233","83.5233","83.5233","83.5233","-","-8.79%"
"Dec 17, 2020","91.5746","91.5746","91.5746","91.5746","-","17.54%"
"Dec 16, 2020","77.9110","77.9110","77.9110","77.9110","-","4.78%"
"Dec 15, 2020","74.3545","74.3545","74.3545","74.3545","-","0.37%"
"Dec 14, 2020","74.0797","74.0797","74.0797","74.0797","-","1.15%"
"Dec 13, 2020","73.2389","73.2389","73.2389","73.2389","-","1.78%"
"Dec 12, 2020","71.9566","71.9566","71.9566","71.9566","-","-0.62%"
"Dec 11, 2020","72.4029","72.4029","72.4029","72.4029","-","-0.09%"
"Dec 10, 2020","72.4665","72.4665","72.4665","72.4665","-","-8.10%"
"Dec 09, 2020","78.8564","78.8564","78.8564","78.8564","-","-2.07%"
"Dec 08, 2020","80.5254","80.5254","80.5254","80.5254","-","-1.87%"
